name,price,rpm,noise_level,color,size
NZXT Kraken 280 RGB,149.99,"500,1500",34.48,White,280
Corsair H60 (2018),,1700,28.3,Black,120
MSI MAG CORELIQUID E360 WHITE,121.99,,,White,360
Lian Li Galahad II LCD,379.59,"300,2450",30,White,360
ARCTIC Freezer 7 X CO,28.93,"300,2000",,Black / Silver,
ID-COOLING FX360 INF,69.98,"300,2000",27.2,Black,360
Thermalright AXP120-X67,30.9,1800,26.1,White,
Deepcool AK500 ZERO DARK,,"500,1850","25.9,31.5",Black,
Deepcool AK400 ZERO DARK PLUS,,"500,1650",28,Black,
Deepcool AG200,,"500,3050",30.5,Black / Silver,
Fractal Design Lumen S24 RGB V2,113.98,"500,2000","10,33.2",Black,240
Alphacool Eisbaer Pro Aurora,214.95,,31.5,Black,420
Asus ROG RYUO III 360 ARGB WHITE EDITION,209.99,2200,36.45,White,360
Deepcool LT520,,"500,2250",32.9,Black / Gray,240
Deepcool LS720S ZERO DARK,,"500,2250","28.2,32.9",Black,360
NZXT T120,34.99,"500,1800","17.9,30.6",Black,
Thermalright Peerless Assassin,38.9,1550,25.6,Gray,
ARCTIC Liquid Freezer II 280 A-RGB,94.99,"200,1900",22.5,Black,280
Phanteks GLACIER ONE 360D30,,"250,2000",30.2,Black,360
Jonsbo CR-1400 EVO Color White,24.88,"800,2200","22.3,33.8",White,
Lian Li Galahad II Trinity,185.54,2450,35.4,Black,360
Phanteks Glacier One 360M25 G2,,"350,2000",35.13,White,360
Corsair iCUE H100i RGB PRO XT,199.99,2400,37,Black,240
Thermalright AXP90-X53,22.9,2700,22.4,Gray,
Razer Hanbo Chroma,59.84,,,Black,240
Cooler Master Hyper 212 Black X Duo,52.82,"690,2500",32.8,Black,
Deepcool AK620 DIGITAL WH,,"500,1850",28,White,
Noctua NH-L12Sx77,74.9,"450,1850","16.8,23.9",Silver / Beige,
Thermalright Assassin King 120 Mini WHITE ARGB V3,19.69,1500,25.6,White / Silver,
Corsair H150,,1500,"18,26.5",Black,360
Razer Hanbo Chroma,79.98,,,Black,360
Asus ROG Ryujin III,179.99,"450,2000",29.7,Black,240
MSI MAG CORELIQUID A13,89.99,,,White,360
NZXT Kraken X73,,"500,2000","21,36",Black,360
Deepcool LT720 WH,,"500,2250",32.9,White,360
Enermax LIQTECH TR4 II 360,456.19,"500,2300","14,28",Black,360
NZXT Kraken M22,69.98,"500,2000","21,36",Black,120
Noctua NH-D9L chromax.black,74.9,"400,2000","16.3,22.8",Black,
MSI MAG CORELIQUID I360,139.99,,,Black,360
Corsair iCUE LINK H170i RGB,,"400,2000",,Black,420
Cooler Master MasterAir MA824 Stealth,89.99,,"0,24.6",Black,
HYTE THICC Q80 Trio,319.99,"1,3000","10,47.3",White,360
Vetroo V5,27.99,"800,1700",30.8,Pink,
MSI MAG CORELIQUID M360,140.17,"500,2000","14.3,34.3",Black,360
Asus ROG RYUO III 240 ARGB,134.99,2200,36.45,Black,240
ARCTIC Freezer 34 eSports DUO,46.81,"200,2100",24.4,Red / Black,
Corsair iCUE H150i ELITE CAPELLIX,348.82,2400,"10,37",White,360
EK AIO Elite 360 D-RGB,157.49,"550,2200",31.6,Black,360
ID-COOLING SE-224-XTS BLACK,24.99,"600,1500",28.9,Black,
NZXT Kraken Z73 RGB,,"500,1500","22,33",White / Black,360
NZXT Kraken Elite 240 RGB (2024),259.99,"500,2400",30,White,240
Thermaltake TH360 V2 Ultra ARGB Sync,159.99,"500,1800",25.8,Black,360
Thermalright Silver Soul 110,32.9,2500,23,Black,
Scythe Mugen 6 Dual Fan,54.99,"300,2000","3,26.88",Black,
Corsair H100i RGB PLATINUM SE,,2200,36,White,240
ENDORFY Spartan 5 ARGB,18,"250,1500",,Black / Silver,
Thermalright Frozen Prism ARGB,47.9,1850,27,White,240
Thermalright AXP120-X67,37.29,1800,26.1,Gray,
EK EK-Nucleus AIO CR360 Lux D-RGB,,"550,2300",36,White,360
MSI Core Frozr XL,149.99,"500,1800","17.2,33.6",Black / Red,
be quiet! Silent Loop 3,164.9,2500,"19.8,38.8",Black,360
Deepcool GAMMAXX AG400 ARGB,,"500,2000",31.6,White,
ID-COOLING FROZN A620 PRO SE ARGB,39.99,"300,2000",27.2,Black,
Deepcool LE720,,"500,2250",32.9,White,360
Asus ProArt LC 360,229.99,,"0,39.5",Black,360
ID-COOLING FROZN A410 DK,32.99,"500,2000",29.85,Black,
Lian Li Galahad II Trinity Performance,,"2300,3000","32.1,39.9",White,360
